# Synthetic Unihan_Readings.txt extracted from hexagram output
U+5BB3	kDefinition	injure, harm; destroy, kill
U+5BD2	kMandarin	hán
U+5BD2	kDefinition	cold, wintry, chilly
U+65F1	kMandarin	hàn
U+65F1	kDefinition	drought; dry; dry land
U+84BF	kMandarin	hāo
U+84BF	kDefinition	mugwort, artemisia; give off
U+660A	kMandarin	hào
U+660A	kDefinition	summer time; sky; heaven
U+865F	kMandarin	hào
U+865F	kDefinition	mark, sign; symbol; number
U+4F55	kMandarin	hé
U+4F55	kDefinition	what, why, where, which, how
U+5408	kMandarin	hé
U+5408	kDefinition	combine, unite, join; gather
U+548C	kMandarin	hé
U+548C	kDefinition	harmony, peace; peaceful, calm
U+6CB3	kMandarin	hé
U+6CB3	kDefinition	river; stream; the Yellow River
U+79BE	kMandarin	hé
U+79BE	kDefinition	grain still on stalk; rice plant
U+8377	kMandarin	hé
U+8377	kDefinition	lotus, water lily; Holland
U+6068	kMandarin	hèn
U+6068	kDefinition	hatred, dislike; resent, hate
U+4EA8	kMandarin	hēng
U+4EA8	kDefinition	smoothly, progressing, no trouble
U+6046	kMandarin	héng
U+6046	kDefinition	constant, regular, persistent; hexagram ䷟
U+6052	kMandarin	héng
U+6052	kDefinition	constant, regular, persistent
U+4FAF	kMandarin	hóu
U+4FAF	kDefinition	marquis, lord; target in archery
U+5589	kMandarin	hóu
U+5589	kDefinition	throat, gullet, larynx; guttural
U+5019	kMandarin	hòu
U+5019	kDefinition	wait; expect; visit; greet
U+540E	kMandarin	hòu
U+540E	kDefinition	queen, empress, sovereign; (simp. for 後) behind, rear, after
U+5F8C	kMandarin	hòu
U+5F8C	kDefinition	behind, rear, after; descendents
U+4E4E	kMandarin	hū
U+4E4E	kDefinition	interrogative or exclamatory final particle
U+72D0	kMandarin	hú
U+72D0	kDefinition	fox
U+80E1	kMandarin	hú
U+80E1	kDefinition	recklessly, foolishly; wildly
U+864E	kMandarin	hǔ
U+864E	kDefinition	tiger; brave, fierce; surname
U+5316	kMandarin	huà
U+5316	kDefinition	change, convert, reform; -ize
U+6DEE	kMandarin	huái
U+6DEE	kDefinition	river in Anhui province
U+58DE	kMandarin	huài
U+58DE	kDefinition	bad, spoil(ed), ruin, destroy
U+6B61	kMandarin	huān
U+6B61	kDefinition	happy, pleased, glad; joy; to enjoy
U+8C86	kMandarin	huán
U+8C86	kDefinition	small badger; porcupine
U+60A3	kMandarin	huàn
U+60A3	kDefinition	suffer, worry about; suffering
U+6E19	kMandarin	huàn
U+6E19	kDefinition	scatter; scattered, dispersed; hexagram ䷺
U+51F0	kMandarin	huáng
U+51F0	kDefinition	female phoenix
U+60F6	kMandarin	huáng
U+60F6	kDefinition	fearful, afraid, anxious, nervous
U+9EC3	kMandarin	huáng
U+9EC3	kDefinition	yellow; surname; Kangxi radical 201
U+6325	kMandarin	huī
U+6325	kDefinition	direct; wipe away; squander
U+63EE	kMandarin	huī
U+63EE	kDefinition	direct; wipe away; squander
U+6094	kMandarin	huǐ
U+6094	kDefinition	repent, show remorse, regret
U+867A	kMandarin	huǐ
U+867A	kDefinition	large poisonous snake
U+4F1A	kMandarin	huì
U+4F1A	kDefinition	assemble, meet together; meeting
U+60E0	kMandarin	huì
U+60E0	kDefinition	favor, benefit, confer kindness
U+6703	kMandarin	huì
U+6703	kDefinition	to assemble, meet together; a meeting; an organization
U+706B	kMandarin	huǒ
U+706B	kDefinition	fire, flame; burn; anger, rage
U+60D1	kMandarin	huò
U+60D1	kDefinition	confuse, mislead, baffle; doubt
U+6216	kMandarin	huò
U+6216	kDefinition	or, either, else; perhaps, maybe
U+7372	kMandarin	huò
U+7372	kDefinition	obtain, get, receive; seize
U+798D	kMandarin	huò
U+798D	kDefinition	misfortune, calamity, disaster
U+59EC	kMandarin	jī
U+59EC	kDefinition	beauty; imperial concubine
U+64CA	kMandarin	jī
U+64CA	kDefinition	strike, hit, beat; attack, fight
U+7A4D	kMandarin	jī
U+7A4D	kDefinition	accumulate, store up, amass
U+96DE	kMandarin	jī
U+96DE	kDefinition	chickens; domestic fowl
U+98E2	kMandarin	jī
U+98E2	kDefinition	hunger, starving; hungry; a famine
U+53CA	kMandarin	jí
U+53CA	kDefinition	extend; reach; come up to; and
U+5409	kMandarin	jí
U+5409	kDefinition	lucky, propitious, good
U+6781	kMandarin	jí
U+6781	kDefinition	extreme, utmost, furthest, final
U+6975	kMandarin	jí
U+6975	kDefinition	extreme, utmost, furthest, final
U+75BE	kMandarin	jí
